window,n_selected,avg_is_ic,avg_oos_ic,test_start,test_end
138,10,0.04516918294925678,0.04100139228498974,2021-03-18 20:00:00,2021-04-20 06:55:00
139,10,0.036715725176809606,0.026141309695190417,2021-04-20 07:00:00,2021-05-20 10:25:00
140,14,0.033666595048031336,0.037456897631754596,2021-05-20 10:30:00,2021-06-21 18:55:00
141,12,0.032971743464524854,0.0401966824189815,2021-06-21 19:00:00,2021-07-21 21:55:00
142,14,0.03432374696470899,0.05669293307790312,2021-07-21 22:00:00,2021-08-22 19:55:00
143,14,0.03582466715390633,0.020864402473152847,2021-08-22 20:00:00,2021-09-21 21:55:00
144,13,0.03799981350362343,0.028689591655373246,2021-09-21 22:00:00,2021-10-21 20:00:00
145,12,0.035827280808810966,0.03445950489476941,2021-10-21 20:05:00,2021-11-22 18:00:00
146,12,0.030701865927702614,0.051247710658422076,2021-11-22 18:05:00,2021-12-22 23:45:00
147,8,0.027450760320861068,0.04635676039879095,2021-12-22 23:50:00,2022-01-25 01:45:00
148,4,0.025569036831626465,0.024498866507493257,2022-01-25 01:50:00,2022-02-24 03:45:00
149,5,0.03337389383179037,0.02123850952547581,2022-02-24 03:50:00,2022-03-28 01:45:00
150,5,0.035342949231965404,0.06251564195430057,2022-03-28 01:50:00,2022-04-27 23:45:00
151,7,0.04014301488182755,0.031806792033710465,2022-04-27 23:50:00,2022-05-29 21:45:00
152,9,0.031085071463983045,0.03211686014216015,2022-05-29 21:50:00,2022-06-29 03:45:00
153,7,0.027452925358048115,0.06843849417851246,2022-06-29 03:50:00,2022-07-29 05:45:00
154,7,0.029809183743936454,0.023664119883975133,2022-07-29 05:50:00,2022-08-30 03:45:00
155,10,0.02815477745076813,0.02318963424172416,2022-08-30 03:50:00,2022-09-29 05:45:00
156,12,0.030574429639140307,0.0326079615264795,2022-09-29 05:50:00,2022-10-31 03:45:00
157,14,0.02910714571478273,0.03961785897301119,2022-10-31 03:50:00,2022-11-30 09:30:00
158,6,0.031040463759111642,0.02754186070583055,2022-11-30 09:35:00,2023-01-03 07:30:00
159,9,0.030291606678853406,0.04180163611888457,2023-01-03 07:35:00,2023-02-02 09:30:00
160,8,0.028868910522922436,0.0339093636638051,2023-02-02 09:35:00,2023-03-06 11:30:00
161,11,0.02781470867914432,0.02071951977786915,2023-03-06 11:35:00,2023-04-05 09:35:00
162,10,0.0343580048292887,0.05614576017103873,2023-04-05 09:40:00,2023-05-05 15:20:00
163,13,0.043902820043006954,0.0481029743422955,2023-05-05 15:25:00,2023-06-06 18:20:00
164,10,0.03935548287106016,0.05672607474013762,2023-06-06 18:25:00,2023-07-07 04:05:00
165,13,0.044072167091966714,0.031652950623508404,2023-07-07 04:10:00,2023-08-08 02:05:00
166,13,0.04697937268865896,0.0325044201941877,2023-08-08 02:10:00,2023-09-07 04:05:00
167,11,0.040355104456847306,0.033038716113207856,2023-09-07 04:10:00,2023-10-09 02:05:00
168,8,0.03358898972579891,0.039466296352465,2023-10-09 02:10:00,2023-11-08 00:05:00
169,7,0.026547348123982722,0.06176898406950308,2023-11-08 00:10:00,2023-12-08 05:50:00
170,8,0.029489545484982085,0.040884232040727136,2023-12-08 05:55:00,2024-01-11 03:50:00
171,11,0.03247331825717626,0.05513389996209055,2024-01-11 03:55:00,2024-02-12 06:20:00
172,13,0.042433486964621986,0.02777215915764245,2024-02-12 06:25:00,2024-03-13 08:20:00
173,14,0.03530548008707446,0.024053291250506287,2024-03-13 08:25:00,2024-04-15 06:20:00
174,10,0.039564390633179194,0.027534934394994014,2024-04-15 06:25:00,2024-05-15 04:20:00
175,9,0.036644157325367105,0.058928119629977904,2024-05-15 04:25:00,2024-06-14 06:20:00
176,10,0.03149181274535721,0.045828400574489114,2024-06-14 06:25:00,2024-07-16 17:05:00
177,16,0.033576318435354115,0.02348946586187173,2024-07-16 17:10:00,2024-08-15 14:05:00
178,12,0.03014059031889738,0.026326775176474585,2024-08-15 14:10:00,2024-09-16 17:15:00
